id,key,value,type
29362764,frequency,50,regular
29362764,electrified,contact_line,regular
29362765,gauge,1676,regular
29362765,layer,1,regular
29362765,usage,main,regular
29362765,bridge,yes,regular
29362765,railway,rail,regular
29362765,voltage,25000,regular
29362765,frequency,50,regular
29362765,electrified,contact_line,regular
29362777,gauge,1676,regular
29362777,usage,main,regular
29362777,railway,rail,regular
29362777,voltage,25000,regular
29362777,frequency,50,regular
29362777,electrified,contact_line,regular
29362783,gauge,1000,regular
29362783,layer,1,regular
29362783,bridge,yes,regular
29362783,railway,narrow_gauge,regular
29362789,name,Western Railway Line,regular
29362789,gauge,1000,regular
29362789,railway,narrow_gauge,regular
29362792,railway,rail,regular
29362868,railway,rail,regular
29362868,service,spur,regular
29362875,railway,rail,regular
29362875,service,spur,regular
29362887,bridge,yes,regular
29362887,railway,rail,regular
29362888,railway,rail,regular
29362910,bridge,yes,regular
29362910,railway,rail,regular
29362910,passenger_lines,2,regular
29362911,railway,rail,regular
29362911,passenger_lines,2,regular
29363001,railway,abandoned,regular
29372909,name,Narol Sarkhej Road,regular
29372909,oneway,yes,regular
29372909,highway,primary,regular
29372909,motorroad,no,regular
29372925,oneway,yes,regular
29372925,highway,primary,regular
29372925,old,NH8,ref
29372925,motorroad,no,regular
29372926,layer,1,regular
29372926,bridge,yes,regular
29372926,oneway,yes,regular
29372926,highway,primary,regular
29372926,new,N 48,ref
29372926,motorroad,no,regular
29372930,layer,1,regular
29372930,bridge,yes,regular
29372930,oneway,yes,regular
29372930,highway,primary,regular
29372930,new,N 48,ref
29372930,motorroad,no,regular
29372972,lanes,2,regular
29372972,layer,1,regular
29372972,oneway,yes,regular
29372972,highway,primary,regular
29372972,old,NH8,ref
29372972,motorroad,no,regular
29372974,lanes,2,regular
29372974,layer,1,regular
29372974,oneway,yes,regular
29372974,highway,primary,regular
29372974,old,NH8,ref
29372974,motorroad,no,regular
29373071,layer,1,regular
29373071,bridge,yes,regular
29373071,oneway,yes,regular
29373071,highway,primary,regular
29373071,new,N 48,ref
29373071,motorroad,no,regular
29373072,lanes,4,regular
29373072,oneway,yes,regular
29373072,highway,primary,regular
29373072,old,NH8,ref
29373072,motorroad,no,regular
29373078,layer,1,regular
29373078,bridge,yes,regular
29373078,oneway,yes,regular
29373078,highway,primary,regular
29373078,new,N 48,ref
29373078,motorroad,no,regular
29373243,name,NH8,regular
29373243,oneway,yes,regular
29373243,highway,primary,regular
29373243,new,N 48,ref
29373243,motorroad,no,regular
29373666,railway,rail,regular
29373673,railway,rail,regular
29373675,layer,1,regular
29373675,bridge,yes,regular
29373675,railway,rail,regular
29373969,ref,SH41,regular
29373969,oneway,yes,regular
29373969,highway,primary,regular
29374026,ref,SH41,regular
29374026,layer,1,regular
29374026,bridge,yes,regular
29374026,oneway,yes,regular
29374026,highway,primary,regular
29374030,ref,SH41,regular
29374030,oneway,yes,regular
29374030,highway,primary,regular
29375006,foot,yes,regular
29375006,highway,footway,regular
29375148,name,Lal Bahadur Shastri Road,regular
29375148,oneway,-1,regular
29375148,highway,secondary,regular
29375274,name,Nathalal Jhagadia Bridge,regular
29375274,layer,1,regular
29375274,bridge,yes,regular
29375274,oneway,yes,regular
29375274,highway,tertiary,regular
29375295,highway,tertiary,regular
29375304,highway,service,regular
29375317,name,Punit Marg,regular
29375317,oneway,no,regular
29375317,highway,unclassified,regular
29375387,ref,NH8,regular
29375387,oneway,-1,regular
29375387,highway,trunk,regular
29375467,highway,trunk,regular
29375467,oneway,-1,regular
29375620,name,Naroda Road,regular
29375620,highway,primary,regular
29375620,motorroad,no,regular
29375622,name,Naroda Road,regular
29375622,layer,1,regular
29375622,bridge,yes,regular
29375622,highway,primary,regular
29375622,motorroad,no,regular
29375946,name,Rustom Cama Marg,regular
29375946,oneway,yes,regular
29375946,highway,secondary,regular
29376004,name,Ellisbridge,regular
29376004,layer,2,regular
29376004,bridge,yes,regular
29376004,oneway,-1,regular
29376004,highway,secondary,regular
29376008,highway,tertiary,regular
29376105,name,Central Jail road Sabarmati Jail Road,regular
29376105,highway,tertiary,regular
29376203,name,Gandhi Bridge,regular
29376203,layer,2,regular
29376203,bridge,yes,regular
29376203,oneway,-1,regular
29376203,highway,primary,regular
29376203,motorroad,no,regular
29376205,name,Kasturba Gandhi Road,regular
29376205,oneway,-1,regular
29376205,highway,primary,regular
29376205,motorroad,no,regular
29376270,name,Netaji Subhash Chandra Road,regular
29376270,oneway,yes,regular
29376270,highway,trunk,regular
29376357,oneway,yes,regular
29376357,highway,secondary,regular
29376638,ref,NH147,regular
29376638,layer,1,regular
29376638,bridge,yes,regular
29376638,oneway,yes,regular
29376638,highway,trunk,regular
29376638,old,NH8C,ref
29376724,ref,NH147,regular
29376724,name,Thaltej Cross Roads,regular
29376724,oneway,yes,regular
29376724,highway,trunk,regular
29376724,old,NH8C,ref
29376724,junction,roundabout,regular
29376742,ref,NH147,regular
29376742,oneway,yes,regular
29376742,highway,trunk,regular
29376742,old,NH8C,ref
29376743,ref,NH147,regular
29376743,layer,1,regular
29376743,bridge,yes,regular
29376743,oneway,yes,regular
29376743,highway,trunk,regular
29376743,old,NH8C,ref
29376744,ref,NH147,regular
29376744,oneway,yes,regular
29376744,highway,trunk,regular
29376744,old,NH8C,ref
29376745,ref,NH147,regular
29376745,layer,1,regular
29376745,bridge,yes,regular
29376745,oneway,yes,regular
29376745,highway,trunk,regular
29376745,old,NH8C,ref
29376751,ref,NH147,regular
29376751,layer,1,regular
29376751,bridge,yes,regular
29376751,oneway,yes,regular
29376751,highway,trunk,regular
29376751,old,NH8C,ref
29376752,highway,trunk,regular
29376752,oneway,yes,regular
29376752,ref,NH147,regular
29376752,old,NH8C,ref
29376753,ref,NH147,regular
29376753,oneway,yes,regular
29376753,highway,trunk,regular
29376753,old,NH8C,ref
29376760,ref,NH147,regular
29376760,layer,1,regular
29376760,bridge,yes,regular
29376760,oneway,yes,regular
29376760,highway,trunk,regular
29376760,old,NH8C,ref
29376765,ref,NH147,regular
29376765,layer,1,regular
29376765,bridge,yes,regular
29376765,oneway,yes,regular
29376765,highway,trunk,regular
29376765,old,NH8C,ref
29376766,ref,NH147,regular
29376766,oneway,yes,regular
29376766,highway,trunk,regular
29376766,old,NH8C,ref
29376767,ref,NH147,regular
29376767,layer,1,regular
29376767,bridge,yes,regular
29376767,oneway,yes,regular
29376767,highway,trunk,regular
29376767,old,NH8C,ref
29376768,ref,NH147,regular
29376768,oneway,yes,regular
29376768,highway,trunk,regular
29376768,old,NH8C,ref
29376795,ref,NH147,regular
29376795,layer,1,regular
29376795,bridge,yes,regular
29376795,oneway,yes,regular
29376795,highway,trunk,regular
29376795,old,NH8C,ref
29376798,ref,NH147,regular
29376798,oneway,yes,regular
29376798,highway,trunk,regular
29376798,old,NH8C,ref
29376804,ref,NH147,regular
29376804,layer,1,regular
29376804,bridge,yes,regular
29376804,oneway,yes,regular
29376804,highway,trunk,regular
29376804,old,NH8C,ref
29376814,ref,NH147,regular
29376814,oneway,yes,regular
29376814,highway,trunk,regular
29376814,old,NH8C,ref
29377420,name,GH Road,regular
29377420,oneway,yes,regular
29377420,highway,secondary,regular
29377994,oneway,yes,regular
29377994,highway,tertiary,regular
29378023,name,Road 2,regular
29378023,oneway,yes,regular
29378023,highway,tertiary,regular
29378172,ref,SH71,regular
29378172,name,Gandhinagar-Ahmedabad Highway,regular
29378172,oneway,yes,regular
29378172,highway,primary,regular
29378172,motorroad,no,regular
29378213,name,Indira Bridge,regular
29378213,layer,1,regular
29378213,bridge,yes,regular
29378213,highway,primary,regular
29378214,name,Gandhinagar-Ahmedabad Highway,regular
29378214,oneway,yes,regular
29378214,highway,primary,regular
29378215,name,Indira Bridge,regular
29378215,layer,1,regular
29378215,bridge,yes,regular
29378215,oneway,yes,regular
29378215,highway,primary,regular
29378217,name,Gandhinagar-Ahmedabad Highway,regular
29378217,oneway,yes,regular
29378217,highway,primary,regular
29378254,name,Gandhinagar-Ahmedabad Highway,regular
29378254,oneway,yes,regular
29378254,highway,primary,regular
29378255,name,Gandhinagar-Ahmedabad Highway,regular
29378255,layer,1,regular
29378255,bridge,yes,regular
29378255,oneway,yes,regular
29378255,highway,primary,regular
29378257,name,Gandhinagar-Ahmedabad Highway,regular
29378257,layer,1,regular
29378257,bridge,yes,regular
29378257,oneway,yes,regular
29378257,highway,primary,regular
29378258,name,Gandhinagar-Ahmedabad Highway,regular
29378258,oneway,yes,regular
29378258,highway,primary,regular
29378290,ref,SH71,regular
29378290,name,Gandhinagar-Ahmedabad Highway,regular
29378290,oneway,yes,regular
29378290,highway,primary,regular
29378290,junction,roundabout,regular
29378290,motorroad,no,regular
29378312,ref,SH71,regular
29378312,oneway,yes,regular
29378312,highway,primary,regular
29378312,motorroad,no,regular
29378316,ref,SH71,regular
29378316,layer,1,regular
29378316,bridge,yes,regular
29378316,oneway,yes,regular
29378316,highway,primary,regular
29378316,motorroad,no,regular
29378322,ref,SH71,regular
29378322,oneway,yes,regular
29378322,highway,primary,regular
29378322,motorroad,no,regular
29378323,ref,SH71,regular
29378323,layer,1,regular
29378323,bridge,yes,regular
29378323,oneway,yes,regular
29378323,highway,primary,regular
29378323,motorroad,no,regular
29378324,ref,SH71,regular
29378324,oneway,yes,regular
29378324,highway,primary,regular
29378324,motorroad,no,regular
29378592,oneway,yes,regular
29378592,highway,secondary,regular
29378600,highway,secondary,regular
29379031,ref,NH947;SH17,regular
29379031,oneway,yes,regular
29379031,highway,trunk,regular
29379047,source,Yahoo hires,regular
29379047,highway,residential,regular
29379138,ref,NH947;SH17,regular
29379138,oneway,yes,regular
29379138,highway,trunk,regular
29382337,oneway,yes,regular
29382337,highway,primary_link,regular
29382344,oneway,yes,regular
29382344,highway,primary_link,regular
29382379,highway,tertiary,regular
29383189,power,substation,regular
29383196,power,substation,regular
29383312,railway,rail,regular
29383312,service,spur,regular
29384224,power,line,regular
29384525,boat,no,regular
29384525,waterway,stream,regular
29384586,railway,rail,regular
29384599,ref,NH147,regular
29384599,oneway,yes,regular
29384599,highway,trunk,regular
29384599,old,NH8C,ref
29384599,motorroad,no,regular
29384600,ref,NH147,regular
29384600,layer,1,regular
29384600,bridge,yes,regular
29384600,oneway,yes,regular
29384600,highway,trunk,regular
29384600,old,NH8C,ref
29384600,motorroad,no,regular
29384603,ref,NH147,regular
29384603,layer,1,regular
29384603,bridge,yes,regular
29384603,oneway,yes,regular
29384603,highway,trunk,regular
29384603,old,NH8C,ref
29384611,ref,NH147,regular
29384611,oneway,yes,regular
29384611,highway,trunk,regular
29384611,old,NH8C,ref
29384677,ref,SH71,regular
29384677,name,Koba - Gandhinagar Highway,regular
29384677,oneway,yes,regular
29384677,highway,primary,regular
29384677,motorroad,no,regular
29384678,ref,SH71,regular
29384678,name,Gandhinagar-Ahmedabad Highway,regular
29384678,layer,1,regular
29384678,bridge,yes,regular
29384678,oneway,yes,regular
29384678,highway,primary,regular
29384678,motorroad,no,regular
29384680,ref,SH71,regular
29384680,name,Gandhinagar-Ahmedabad Highway,regular
29384680,layer,1,regular
29384680,bridge,yes,regular
29384680,oneway,yes,regular
29384680,highway,primary,regular
29384680,motorroad,no,regular
29384755,highway,unclassified,regular
29384758,layer,1,regular
29384758,bridge,yes,regular
29384758,highway,unclassified,regular
29384759,oneway,yes,regular
29384759,highway,unclassified,regular
29384760,highway,unclassified,regular
29384871,highway,secondary,regular
29384899,highway,unclassified,regular
29384936,name,Broken Bridge,regular
29384936,layer,1,regular
29384936,bridge,yes,regular
29384936,oneway,yes,regular
29384936,highway,secondary,regular
29384940,oneway,yes,regular
29384940,highway,secondary,regular
29384963,oneway,yes,regular
29384963,highway,tertiary,regular
29384989,oneway,yes,regular
29384989,highway,secondary,regular
29384997,oneway,yes,regular
29384997,highway,secondary,regular
29386881,power,line,regular
29386881,cables,6,regular
29386881,voltage,220000,regular
29387646,power,substation,regular
29387650,power,line,regular
29388006,name,Ahmedabad Airport Runway,regular
29388006,length,3599,regular
29388006,aeroway,runway,regular
29388006,surface,asphalt,regular
29388006,wikipedia,en:Sardar Vallabhbhai Patel International Airport,regular
29388456,landuse,village_green,regular
29388470,layer,-2,regular
29388470,landuse,village_green,regular
29388470,created_by,Potlatch 0.10f,regular
29388617,aeroway,taxiway,regular
29388618,aeroway,taxiway,regular
29482485,power,substation,regular
29485369,power,line,regular
29485369,cables,6,regular
29486031,power,line,regular
29486031,cables,6,regular
29486598,name,Vatwa,regular
29486598,power,substation,regular
29487327,power,line,regular
29488146,power,line,regular
29488146,cables,3,regular
29488146,voltage,132000,regular
29489763,power,line,regular
29489763,cables,6,regular
29489869,power,line,regular
29490335,power,substation,regular
29490341,power,line,regular
29490474,power,line,regular
29490645,power,substation,regular
29491044,power,line,regular
29491167,power,line,regular
29491460,power,line,regular
29491791,oneway,yes,regular
29491791,highway,secondary,regular
29491821,highway,tertiary,regular
29491849,oneway,yes,regular
29491849,highway,tertiary,regular
29491933,oneway,-1,regular
29491933,highway,tertiary,regular
29492063,oneway,yes,regular
29492063,highway,tertiary,regular
29492092,highway,tertiary,regular
29492120,name,Gulab Tower Road,regular
29492120,oneway,yes,regular
29492120,highway,tertiary,regular
29492206,oneway,yes,regular
29492206,highway,secondary,regular
29492293,highway,tertiary,regular
29492349,oneway,-1,regular
29492349,highway,tertiary,regular
29492371,highway,tertiary,regular
29492388,highway,service,regular
29492424,highway,tertiary,regular
29492433,highway,tertiary,regular
29492433,created_by,Potlatch 0.10f,regular
29492446,highway,tertiary,regular
29492446,created_by,Potlatch 0.10f,regular
29492472,highway,tertiary,regular
29492514,oneway,yes,regular
29492514,highway,secondary,regular
29492754,name,AMGEN,regular
29492754,power,plant,regular
29492754,landuse,industrial,regular
29492754,operator,Torrent Power,regular
29492754,method,combustion,generator
29492754,source,coal,generator
29492754,output:electricity,422 MW,plant
29492760,name,BULKHIDAS ROAD,regular
29492760,highway,tertiary,regular
29492788,highway,secondary,regular
29492830,highway,tertiary,regular
29492833,highway,secondary,regular
29492867,highway,tertiary,regular
29492905,name,Ram Bag Road,regular
29492905,oneway,yes,regular
29492905,highway,tertiary,regular
29492914,name,SHAMALBHAI LALLUBHAI PATEL ROAD,regular
29492914,highway,secondary,regular
29492920,highway,tertiary,regular
29492920,created_by,Potlatch 0.10f,regular
29492950,highway,unclassified,regular
29493000,name,Tragad  gam road,regular
29493000,highway,tertiary,regular
29493002,layer,1,regular
29493002,bridge,yes,regular
29493002,railway,rail,regular
29493003,railway,rail,regular
30391847,highway,tertiary,regular
30392051,oneway,-1,regular
30392051,highway,primary,regular
30392235,name,Kankaria Road,regular
30392235,oneway,yes,regular
30392235,highway,secondary,regular
30392318,highway,unclassified,regular
30392427,highway,tertiary,regular
30392657,highway,tertiary,regular
30392806,name,Anil Strach Mill Road,regular
30392806,highway,tertiary,regular
30392806,surface,asphalt,regular
34616480,name,Ambli Bopal Road,regular
34616480,oneway,yes,regular
34616480,source,bing,regular
34616480,highway,secondary,regular
36870960,name,Subhash Bridge,regular
